model_name,game_type_id,unit_size_min,unit_size_max,faction
Beastlord,1,1,1,Beasts of Chaos
Doombull,1,1,1,Beasts of Chaos
Dragon Ogor Shaggoth,1,1,1,Beasts of Chaos
Great Bray-Shaman,1,1,1,Beasts of Chaos
Bestigors,1,10,20,Beasts of Chaos
Bullgors,1,3,6,Beasts of Chaos
Gors,1,10,20,Beasts of Chaos
Ungor Raiders,1,10,20,Beasts of Chaos
Ungors,1,10,20,Beasts of Chaos
Centigors,1,5,10,Beasts of Chaos
Dragon Ogors,1,3,6,Beasts of Chaos
Beasts of Chaos Chaos Spawn,1,1,1,Beasts of Chaos
Chaos Warhounds,1,10,20,Beasts of Chaos
Cockatrice,1,1,1,Beasts of Chaos
Razorgor,1,1,1,Beasts of Chaos
Chaos Gargant,1,1,1,Beasts of Chaos
Chimera,1,1,1,Beasts of Chaos
Cygor,1,1,1,Beasts of Chaos
Ghorgon,1,1,1,Beasts of Chaos
Jabberslythe,1,1,1,Beasts of Chaos
Tuskgor Chariots,1,1,1,Beasts of Chaos
Herdstone,1,1,1,Beasts of Chaos
Doomblast Diregehorn,1,1,1,Beasts of Chaos
Ravening Direblock,1,1,1,Beasts of Chaos
Wildfire Taurus,1,1,1,Beasts of Chaos
Aspiring Deathbringer,1,1,1,Blades of Khorne
"Bloodmaster, Herald of Khorne",1,1,1,Blades of Khorne
Bloodsecrator,1,1,1,Blades of Khorne
Bloodstoker,1,1,1,Blades of Khorne
Bloodthirster of Insensate Rage,1,1,1,Blades of Khorne
Bloodthirsted of Unfettered Fury,1,1,1,Blades of Khorne
Exalted Deathbringer,1,1,1,Blades of Khorne
Herald of Khorne on Blood Throne,1,1,1,Blades of Khorne
Karanak,1,1,1,Blades of Khorne
Lord of Khorne on Juggernaut,1,1,1,Blades of Khorne
Mighty Lord of Khorne,1,1,1,Blades of Khorne
Realmgore Ritualist,1,1,1,Blades of Khorne
Skarbrand,1,1,1,Blades of Khorne
Skarr Bloodwrath,1,1,1,Blades of Khorne
Skullgrinder,1,1,1,Blades of Khorne
"Skullmaster, Herald of Khorne",1,1,1,Blades of Khorne
Skulltaker,1,1,1,Blades of Khorne
Slaughterpriest,1,1,1,Blades of Khorne
Wrath of Khorne Bloodthirster,1,1,1,Blades of Khorne
